s_indoor,s_outdoor,s_tod,s_occ,s_price,action,reward,s2_indoor,s2_outdoor,s2_tod,s2_occ,s2_price,done
23.272102,20.770931,23.75,9.0,0.32317024,0,-0.0800772577524185,23.291338,20.770931,0.0,8.0,0.30077258,0
23.291338,20.770931,0.0,8.0,0.30077258,0,-0.0840597629547119,23.297098,20.770931,0.25,4.0,0.34059763,0
23.297098,20.770931,0.25,4.0,0.34059763,2,-0.8251253962516785,23.047432,20.770931,0.5,3.0,0.3251254,0
23.047432,20.770931,0.5,3.0,0.3251254,2,-0.8177906572818756,22.750244,20.770931,0.75,4.0,0.31779066,0
22.750244,20.770931,0.75,4.0,0.31779066,2,-0.8037797808647156,22.543352,20.770931,1.0,0.0,0.30377978,0
22.543352,20.770931,1.0,0.0,0.30377978,2,-0.8919890522956848,22.244495,20.770931,1.25,0.0,0.39198905,0
22.244495,20.770931,1.25,0.0,0.39198905,2,-0.8287992179393768,21.974184,20.770931,1.5,2.0,0.32879922,0
21.974184,20.770931,1.5,2.0,0.32879922,2,-0.8336212635040283,21.749437,20.770931,1.75,5.0,0.33362126,0
21.749437,20.770931,1.75,5.0,0.33362126,2,-0.7547931373119354,21.565145,20.770931,2.0,9.0,0.25479314,0
21.565145,20.770931,2.0,9.0,0.25479314,0,-0.0731912553310394,21.600492,20.770931,2.25,4.0,0.23191255,0
21.600492,20.770931,2.25,4.0,0.23191255,2,-0.6767887771129608,21.4285,20.770931,2.5,0.0,0.17678878,0
21.4285,20.770931,2.5,0.0,0.17678878,2,-0.5994435101747513,21.298273,20.770931,2.75,0.0,0.09944351,0
21.298273,20.770931,2.75,0.0,0.09944351,2,-0.5854823291301727,21.134163,20.770931,3.0,1.0,0.08548233,0
21.134163,20.770931,3.0,1.0,0.08548233,2,-0.6331449300050735,21.038132,20.770931,3.25,6.0,0.13314493,0
21.038132,20.770931,3.25,6.0,0.13314493,0,-0.064885438978672,21.17096,20.770931,3.5,8.0,0.14885439,0
21.17096,20.770931,3.5,8.0,0.14885439,0,-0.0564032681286335,21.4076,20.770931,3.75,13.0,0.06403268,0
21.4076,20.770931,3.75,13.0,0.06403268,0,-0.0576097138226032,21.544828,20.770931,4.0,16.0,0.07609714,0
21.544828,20.770931,4.0,16.0,0.07609714,0,-0.0585344046354293,21.602444,20.770931,4.25,15.0,0.08534405,0
21.602444,20.770931,4.25,15.0,0.08534405,0,-0.0611499696969985,21.758667,20.770931,4.5,11.0,0.1114997,0
21.758667,20.770931,4.5,11.0,0.1114997,0,-0.0506835140287876,21.838343,20.770931,4.75,10.0,0.0068351403,0
21.838343,20.770931,4.75,10.0,0.0068351403,0,-0.05,22.01197,20.770931,5.0,8.0,0.0,0
22.01197,20.770931,5.0,8.0,0.0,0,-0.05,22.056948,20.770931,5.25,13.0,0.0,0
22.056948,20.770931,5.25,13.0,0.0,0,-0.0532858472317457,22.141813,20.770931,5.5,13.0,0.032858472,0
22.141813,20.770931,5.5,13.0,0.032858472,0,-0.052573150023818,22.198957,20.770931,5.75,17.0,0.0257315,0
22.198957,20.770931,5.75,17.0,0.0257315,0,-0.05,22.280834,20.770931,6.0,22.0,0.0,1
22.262691,34.531734,21.0,9.0,0.9882115,0,-0.1453526437282562,23.089819,34.531734,21.25,9.0,0.95352644,0
23.089819,34.531734,21.25,9.0,0.95352644,0,-0.15,23.748055,34.531734,21.5,10.0,1.0,0
23.748055,34.531734,21.5,10.0,1.0,0,-0.973673939704895,24.413027,34.531734,21.75,10.0,0.9762034,0
24.413027,34.531734,21.75,10.0,0.9762034,0,-2.2970516681671143,25.077337,34.531734,22.0,14.0,0.92377245,0
25.077337,34.531734,22.0,14.0,0.92377245,0,-3.46862530708313,25.669037,34.531734,22.25,19.0,0.8055149,0
25.669037,34.531734,22.25,19.0,0.8055149,0,-4.684031009674072,26.274895,34.531734,22.5,24.0,0.8424156,0
26.274895,34.531734,22.5,24.0,0.8424156,0,-5.911458969116211,26.886234,34.531734,22.75,23.0,0.88990235,0
26.886234,34.531734,22.75,23.0,0.88990235,0,-6.971497058868408,27.414896,34.531734,23.0,19.0,0.917051,0
